patch_id,book_no,chapter_no,field,op,old,new,expect_count,notes
LEMMA_GR_1_36,1,36,lemma_gr,SET,,"Κνιδίου κόκκου ἔλαιον",,"Set lemma_gr to clean heading"
LEMMA_GR_2_10,2,10,lemma_gr,SET,,"τέφρα καρκίνων ποταμίων",,"Set lemma_gr to clean heading"
EN_4_90_LEMMA,4,90,lemma_en,SET,,"Third kind of Houseleek or Stonecrop",,"Fix missing 'or' in lemma_en"
EN_4_90_OR,4,90,entry_en,REPLACE,"houseleek = stonecrop","houseleek or stonecrop",1,"Fix missing 'or' in entry_en"
EN_4_90_FOOTNOTE,4,90,entry_en,REPLACE,"%%ἀείζῳον, “everliving” or “evergreen.” ","",1,"Remove injected glossary footnote"
EN_4_75_FOOTNOTE,4,75,entry_en,REPLACE,"%%Described in Dsc. Bk. Ill, 17. n ","",1,"Remove injected footnote fragment"
EN_4_164_FOOTNOTE,4,164,entry_en,REPLACE,"58 %%“Myrtle spurge.” “Sea spurge.” ' ^5 “Sun spurge.” “Cypress spurge.” “Tree-like spurge.” ","",1,"Remove injected footnote block"
EN_1_120_SORB,1,120,entry_en,REPLACE,"Sorb apples’\""*26 ","Sorb apples ",1,"Remove OCR/footnote noise"
EN_5_162_FOOTNOTE,5,162,entry_en,REPLACE,"%%A bituminous earth. See Pliny, N. H., 35. 194. ","",1,"Remove injected footnote fragment"
EN_5_162_AREIOS_DEDUP,5,162,entry_en,REGEX_REPLACE,"(And now, dear Areios, this should be enough, since I think that both the length of my composition and the quantity of medicinal materials and remedies are quite adequate to set this work aside\.)\s*\1\s*$","\1",1,"De-duplicate repeated closing sentence"
GR_5_74_SPAIN,5,74,entry_gr,REPLACE,Σπαπληρωτικήν,Σπανίας,1,"Fix OCR corruption (Spain)"
GR_5_17_SIX,5,17,entry_gr,REPLACE,q΄,ϛ΄,1,"Fix OCR numeral (six)"
GR_5_42_SIX,5,42,entry_gr,REPLACE,q΄,ϛ΄,1,"Fix OCR numeral (six)"
GR_1_100_TAG,1,100,entry_gr,REGEX_REPLACE,"^s\s*100\s+","",1,"Remove stray chapter marker prefix"
GR_2_23_ORCHIS,2,23,entry_gr,REPLACE,ὄδρχις,ὄρχις,1,"Fix typo"
GR_2_47_HYDRO,2,47,entry_gr,REPLACE,ὑδροφόβᾳ,ὑδροφοβίᾳ,1,"Fix typo"
GR_2_63_SPACE,2,63,entry_gr,REPLACE,ἔνιοικαλοῦσι,ἔνιοι καλοῦσι,1,"Insert missing space"
GR_2_118_MALLOWS,2,118,entry_gr,REPLACE,μολόζη·,μολόχη·,1,"Fix plant name typo"
GR_2_132_EYES,2,132,entry_gr,REPLACE,ὀχθαλμῶν,ὀφθαλμῶν,1,"Fix OCR confusion"
GR_4_68_USEFUL,4,68,entry_gr,REPLACE,ὠφελίμμς,ὠφελίμως,1,"Fix OCR typo"
GR_4_68_BREAK,4,68,entry_gr,REPLACE,"παρακο πὴν","παρακοπὴν",1,"Fix broken word"
